100004 100020
207 4562 2
208 35561 7
209 83602 6
210 95124 3
211 44306 5
212 74935 4
213 99843 8
214 11174 6
215 53126 8
216 14228 3
217 65738 10
218 35418 6
219 47379 3
220 91809 10
221 91114 10
222 91134 10
223 68032 1
224 92714 3
225 93276 7
226 43885 3
227 94812 5
228 6538 2
229 86275 6
230 8485 4
231 27673 5
232 42864 3
233 88187 1
234 63506 5
235 32802 3
236 15320 9
237 30780 9
238 69259 8
239 69975 1
240 26622 8
241 81173 7
242 10156 6
243 54494 2
244 85017 9
245 70616 2
246 92629 4
247 34471 8
248 95073 7
249 40661 6
250 55591 6
251 57075 10
252 81621 10
253 47404 4
254 69735 2
255 4820 2
256 87479 3
257 64050 10
258 8747 8
259 7770 3
260 82327 1
261 71616 7
262 50774 2
263 39501 7
264 96219 1
265 76530 1
266 41524 3
267 4042 8
268 15634 9
269 36302 6
270 14232 8
271 11161 9
272 61008 4
273 19864 7
274 65009 2
275 85184 1
276 95618 7
277 50881 7
278 92243 2
279 35560 7
280 61336 5
281 36070 3
282 86480 4
283 61259 9
284 55197 8
285 54076 7
286 72984 6
287 89482 1
288 78482 9
289 66647 7
290 67079 1
291 35322 3
292 45232 3
293 77008 10
294 32945 2
295 64825 10
296 50832 1
297 49027 4
298 80054 10
299 18137 5
300 8830 9
301 34281 7
302 96617 5
303 8424 8
304 83447 10
305 73192 9
306 43185 6
307 49339 5
308 50515 10
309 10709 8
310 52206 1
311 88258 10
312 51636 2
313 80386 3
314 75937 2
315 63752 4
316 89487 5
317 58406 1
318 86727 5
319 81940 1
320 29344 5
321 94953 6
322 60958 8
323 56740 1
324 90874 10
325 54849 10
326 83145 6
327 80971 1
328 64957 5
329 20922 3
330 2508 6
331 56452 2
332 86155 2
333 84321 2
334 91880 3
335 1838 5
336 71915 5
337 21396 7
338 61651 5
339 94420 8
340 60897 5
341 69269 9
342 49517 10
343 36432 3
344 36130 6
345 61151 10
346 26320 5
347 36719 4
348 28690 2
349 62990 10
350 75269 4
351 87185 1
352 46450 7
353 46782 8
354 69185 3
355 74926 10
356 34056 7
357 14040 7
358 61847 3
359 21492 9
360 56751 5
361 91285 9
362 95588 6
363 63858 1
364 90514 2
365 94150 2
366 4700 10
367 69571 4
368 62211 5
369 31180 9
370 32203 6
371 65818 7
372 11965 1
373 6445 5
374 32394 10
375 65415 4
376 82683 9
377 73039 9
378 87119 2
379 55074 9
380 27951 7
381 91560 4
382 45850 3
383 45282 10
384 71365 9
385 874 9
386 25441 7
387 85452 10
388 73971 6
389 24221 9
390 52743 2
391 8881 5
392 52608 9
393 27084 2
394 50354 6
395 92370 2
396 10463 8
397 56171 2
398 64317 9
399 89205 5
400 33332 7
401 16454 1
402 61003 6
403 78156 4
404 9093 7
405 92979 10
406 42269 8
407 33021 6
408 98336 7
409 27639 3
410 22011 4
411 64418 4
412 84115 5
413 25572 3
414 15731 1
415 66058 10
416 88391 4
417 17 8
418 59218 9
419 20189 1
420 93023 10
421 99545 5
422 49634 3
423 28421 9
424 24704 1
425 29975 10
426 28512 7
427 86140 3
428 48964 1
429 53121 3
430 71899 10
431 33231 6
432 15469 2
433 72888 2
434 33577 3
435 41825 3
436 83330 9
437 92869 9
438 69234 9
439 43218 10
440 81076 5
441 3755 7
442 12749 6
443 14638 4
444 85098 6
445 25417 7
446 34504 2
447 44282 1
448 50571 3
449 47690 5
450 44223 8
451 64011 8
452 29583 10
453 70715 3
454 47585 7
455 76519 6
456 67937 5
457 76858 5
458 27975 6
459 58141 3
460 98468 4
461 79188 2
462 37807 9
463 85936 5
464 54511 8
465 1123 8
466 19114 5
467 24717 5
468 45067 6
469 43656 5
470 63865 1
471 23847 3
472 92621 1
473 21712 4
474 29565 6
475 67658 7
476 65463 8
477 80875 8
478 47903 7
479 13387 1
480 37571 7
481 53680 7
482 82622 3
483 62141 9
484 8017 5
485 12787 8
486 57682 5
487 46688 6
488 81114 6
489 29505 3
490 15400 6
491 54235 9
492 4305 3
493 66503 3
494 27887 4
495 15440 9
496 56456 1
497 96303 7
498 59678 6
499 53330 7
500 17406 5
501 5884 9
502 48687 6
503 6083 5
504 78774 3
505 15102 4
506 34462 2
507 73068 1
508 29769 7
509 91888 5
510 31958 2
511 80376 1
512 78034 4
513 73769 8
514 46436 7
515 46830 4
516 72538 3
517 56168 2
518 21055 4
519 28248 4
520 30757 9
521 85373 6
522 85665 1
523 53588 6
524 3721 8
525 95650 1
526 22340 1
527 76724 4
528 58593 10
529 67795 6
530 1273 10
531 82337 4
532 30108 5
533 71107 1
534 67540 4
535 58951 4
536 3738 7
537 14805 4
538 46207 4
539 82762 3
540 42148 4
541 68832 8
542 53547 9
543 3567 1
544 34029 2
545 87357 6
546 93779 9
547 78400 9
548 27252 2
549 52698 4
550 2946 3
551 44245 3
552 82168 9
553 61075 8
554 48366 8
555 9921 7
556 94807 8
557 32401 3
558 23458 5
559 22654 2
560 8225 7
561 22547 1
562 1584 10
563 72246 4
564 5305 1
565 90573 7
566 90663 5
567 14699 1
568 37888 2
569 42420 9
570 33078 1
571 40070 4
572 39364 1
573 92083 1
574 90308 8
575 25139 4
576 29186 3
577 17203 2
578 2032 1
579 56079 8
580 35407 4
581 84401 2
582 31101 4
583 33877 8
584 73604 1
585 20945 5
586 72768 5
587 26513 4
588 89826 10
589 6630 7
590 67652 8
591 63182 6
592 78242 1
593 72604 4
594 87878 7
595 6575 4
596 60873 1
597 9532 6
598 98709 10
599 35876 9
600 90647 3
601 59775 4
602 8080 3
603 34015 6
604 68118 1
605 74216 4
606 81751 1
607 84828 4
608 5633 8
609 34876 3
610 97649 4
611 31151 3
612 53657 3
613 48026 8
614 76638 5
615 23224 6
616 22517 2
617 78687 3
618 41398 9
619 88236 8
620 6928 8
621 69182 10
622 68922 1
623 8764 9
624 42536 7
625 68149 9
626 45277 9
627 98877 9
628 74047 4
629 46068 4
630 65609 10
631 47882 7
632 90682 2
633 42985 10
634 4949 10
635 64059 4
636 87002 4
637 85780 4
638 6046 3
639 5275 9
640 93610 10
641 7289 1
642 43473 3
643 80133 4
644 52706 1
645 91688 4
646 15067 1
647 7907 7
648 50821 1
649 99444 4
650 67375 3
651 29792 7
652 59813 9
653 32827 1
654 2381 6
655 88795 7
656 94444 6
657 8396 5
658 34700 5
659 76061 9
660 62929 2
661 20811 2
662 40261 6
663 28522 5
664 28760 3
665 22703 1
666 21235 1
667 31978 4
668 17690 9
669 40520 7
670 23192 4
671 94601 9
672 5271 9
673 450 7
674 32855 10
675 40910 8
676 74799 1
677 70048 1
678 77309 8
679 53799 10
680 88618 10
681 8445 6
682 12570 8
683 91052 9
684 3677 3
685 24420 1
686 48436 2
687 40506 4
688 56531 3
689 36810 2
690 20373 4
691 94368 9
692 6511 8
693 5293 3
694 70134 8
695 53690 10
696 2653 6
697 71701 6
698 26507 6
699 41858 8
700 73441 9
701 46720 8
702 90239 4
703 63676 3
704 12412 7
705 60464 1
706 86041 8
707 93657 5
708 38124 8
709 34443 8
710 63722 3
711 47943 1
712 85174 2
713 50084 9
714 12551 8
715 16857 8
716 65352 3
717 22363 10
718 82314 7
719 73980 10
720 43486 4
721 25974 3
722 77854 2
723 85037 7
724 93614 5
725 61129 4
726 51049 2
727 97808 5
728 82450 7
729 36622 2
730 35668 1
731 47760 7
732 94616 8
733 56618 10
734 87741 6
735 83477 9
736 60736 3
737 1558 10
738 26924 7
739 65954 8
740 34086 6
741 58323 5
742 82795 3
743 32807 3
744 4904 10
745 71435 4
746 14507 1
747 88182 9
748 93819 3
749 71682 8
750 42655 9
751 14377 4
752 74851 6
753 78910 4
754 58259 8
755 91065 6
756 41681 9
757 48456 2
758 46589 8
759 74766 3
760 96605 1
761 71780 4
762 35691 4
763 12016 4
764 98845 3
765 98648 1
766 3966 10
767 533 1
768 36136 5
769 15576 9
770 36737 4
771 1162 5
772 26545 4
773 77167 2
774 83193 5
775 705 10
776 19822 5
777 15721 10
778 8557 7
779 50659 3
780 61723 6
781 5463 10
782 65214 3
783 66816 10
784 7975 5
785 54432 9
786 96560 2
787 50868 10
788 22633 10
789 41436 2
790 45107 2
791 85348 8
792 18470 3
793 36174 4
794 5328 6
795 56265 3
796 53836 3
797 96893 6
798 60198 4
799 75011 4
800 42268 9
801 80520 2
802 87009 4
803 38960 5
804 62523 6
805 62950 5
806 38946 6
807 57704 10
808 1527 10
809 52131 8
810 52962 8
811 80300 8
812 85621 6
813 31486 7
814 31758 3
815 96448 1
816 56211 3
817 22522 8
818 42852 3
819 33315 4
820 19372 2
821 27844 8
822 35136 5
823 25366 4
824 11909 6
825 78718 8
826 47118 2
827 90236 10
828 63086 7
829 79086 8
830 38595 5
831 95921 5
832 24501 5
833 15896 3
834 31597 4
835 31992 10
836 40763 5
837 44878 8
838 26498 10
839 35532 10
840 98340 10
841 8025 6
842 80865 8
843 84015 7
844 7845 5
845 69843 5
846 94032 2
847 90104 9
848 98802 1
849 38339 6
850 53594 3
851 17054 8
852 62392 2
853 26950 9
854 28011 9
855 38242 4
856 20984 5
857 83774 1
858 63565 1
859 47270 7
860 78589 6
861 54291 5
862 50361 5
863 21770 1
864 16842 1
865 10627 2
866 59532 8
867 80178 9
868 15364 10
869 77132 8
870 71759 8
871 67087 4
872 72717 4
873 63617 8
874 54854 6
875 61560 5
876 42284 1
877 62398 10
878 37931 5
879 41308 4
880 62740 8
881 96367 2
882 52176 1
883 24711 5
884 55137 4
885 71134 4
886 23738 4
887 97413 7
888 79489 7
889 19462 8
890 40108 5
891 28028 2
892 98009 5
893 17112 5
894 63632 10
895 60384 3
896 40245 2
897 69184 6
898 4926 2
899 68748 8
900 80883 3
901 7070 10
902 51739 7
903 25720 10
904 93449 7
905 27513 8
906 33762 8
907 4149 4
908 41919 8
909 22753 3
910 40460 3
911 14573 8
912 69277 2
913 85411 8
914 63013 4
915 81109 9
916 38577 10
917 83501 3
918 38192 1
919 20271 3
920 75218 2
921 65052 2
922 61301 3
923 52368 5
924 73084 4
925 2849 7
926 85161 5
927 17353 3
928 17543 3
929 46585 9
930 97942 1
931 73504 1
932 4835 6
933 25305 8
934 35637 1
935 59610 8
936 85910 5
937 34267 6
938 61408 6
939 68907 7
940 35916 8
941 37859 9
942 74872 10
943 43517 9
944 90220 8
945 81095 5
946 71286 7
947 40565 3
948 33002 1
949 35118 10
950 69689 3
951 68771 1
952 29342 2
953 7484 4
954 55060 4
955 46652 2
956 3691 10
957 15060 8
958 47783 9
959 96346 5
960 47797 1
961 8243 3
962 13863 6
963 65403 4
964 78599 9
965 674 1
966 82097 10
967 7524 5
968 26113 6
969 6790 2
970 24346 5
971 32395 4
972 62862 2
973 61536 5
974 90185 4
975 10593 2
976 89147 2
977 82583 7
978 9387 3
979 19324 10
980 85016 5
981 96574 7
982 52828 8
983 41665 10
984 29088 4
985 6903 8
986 5638 3
987 13179 7
988 95997 10
989 74563 4
990 99300 6
991 76030 5
992 28006 4
993 58299 7
994 62986 2
995 8391 1
996 10748 3
997 94739 3
998 11547 1
999 84346 10
1000 7551 5
1001 47422 8
1002 26888 8
1003 20330 10
1004 6217 7
1005 48068 2
1006 19303 3
1007 27849 8
1008 39934 6
1009 83055 8
1010 90487 10
1011 45647 9
1012 96375 9
1013 45669 9
1014 5961 7
1015 33349 3
1016 75360 3
1017 36463 5
1018 96481 7
1019 16251 10
1020 67085 7
1021 89334 4
1022 20009 6
1023 32017 2
1024 6305 1
1025 14897 7
1026 10698 9
1027 60192 10
1028 9458 7
1029 88560 2
1030 48868 8
1031 84560 3
1032 9109 5
1033 41594 1
1034 74583 2
1035 12764 3
1036 58109 2
1037 75506 1
1038 94976 5
1039 14371 6
1040 42437 7
1041 98153 8
1042 4324 2
1043 97032 4
1044 33120 2
1045 89568 10
1046 32222 4
1047 54470 6
1048 22924 7
1049 60729 5
1050 4738 7
1051 89509 2
1052 89442 8
1053 3739 1
1054 54100 5
1055 82812 4
1056 8045 4
1057 16573 10
1058 42567 2
1059 86721 3
1060 42796 9
1061 44858 8
1062 47810 3
1063 72750 4
1064 24703 9
1065 72429 7
1066 91917 4
1067 63972 3
1068 30188 2
1069 87968 10
1070 66416 10
1071 57876 9
1072 28024 5
1073 37683 7
1074 93416 2
1075 69462 6
1076 6870 9
1077 61622 2
1078 55180 8
1079 76848 8
1080 72578 1
1081 8934 8
1082 3844 10
1083 37235 6
1084 93609 2
1085 32307 9
1086 71130 9
1087 8632 8
1088 52334 8
1089 38226 6
1090 10975 7
1091 93118 10
1092 87743 9
1093 87650 10
1094 90164 3
1095 7895 5
1096 94085 6
1097 88010 10
1098 84004 3
1099 59011 9
1100 40064 6
1101 53977 1
1102 25761 4
1103 4213 9
1104 45890 4
1105 21855 6
1106 4612 9
1107 83405 2
1108 44565 4
1109 21206 8
1110 75101 5
1111 44415 3
1112 1316 10
1113 59470 3
1114 6705 1
1115 51695 1
1116 93184 3
1117 37526 2
1118 50113 10
1119 77716 7
1120 60179 10
1121 83952 7
1122 70788 2
1123 41048 7
1124 78908 7
1125 88739 2
1126 34356 9
1127 89412 2
1128 96666 9
1129 56592 6
1130 74903 1
1131 49772 2
1132 69930 2
1133 44015 1
1134 44552 2
1135 22077 4
1136 84142 7
1137 64233 9
1138 94869 1
1139 25320 4
1140 8060 5
1141 49241 3
1142 25922 5
1143 12345 6
1144 12375 3
1145 90177 2
1146 67752 1
1147 24215 7
1148 22000 9
1149 57583 10
1150 96417 2
1151 87933 5
1152 9043 5
1153 22153 8
1154 94905 9
1155 9991 1
1156 50224 4
1157 39194 4
1158 85975 7
1159 37018 3
1160 72544 4
1161 39818 9
1162 3084 6
1163 80933 10
1164 28648 8
1165 1818 9
1166 10782 10
1167 21526 2
1168 71886 6
1169 17404 10
1170 57344 7
1171 25098 7
1172 95421 3
1173 19227 1
1174 96841 9
1175 35435 9
1176 47897 4
1177 14790 8
1178 3773 10
1179 17068 4
1180 15927 2
1181 70911 10
1182 1021 1
1183 55936 7
1184 51520 8
1185 16571 2
1186 84484 9
1187 30990 6
1188 31012 8
1189 29958 5
1190 27693 8
1191 24196 4
1192 50885 8
1193 84085 6
1194 52365 1
1195 85685 9
1196 83136 3
1197 19858 4
1198 71427 1
1199 91242 1
1200 83000 8
1201 32526 9
1202 2455 2
1203 1431 10
1204 20621 6
1205 41340 9
1206 37335 2
1207 96082 4
1208 89681 1
1209 99462 8
1210 12600 4
1211 61919 4
1212 36964 9
1213 66007 5
1214 25179 10
1215 28281 9
1216 99881 4
1217 90198 5
1218 50301 2
1219 99295 6
1220 17819 2
1221 31209 5
1222 66874 10
1223 806 8
1224 55680 9
1225 71314 10
1226 52025 7
1227 27945 10
1228 22404 8
1229 13900 5
1230 40210 7
1231 89839 10
1232 70113 6
1233 96169 6
1234 3566 2
1235 68395 9
1236 28354 1
1237 9626 9
1238 30143 3
1239 19464 6
1240 94161 5
1241 59291 9
1242 29991 6
1243 54873 7
1244 90548 9
1245 14782 6
1246 62578 3
1247 84987 4
1248 68738 1
1249 37408 5
1250 58281 2
1251 19152 10
1252 40930 7
1253 26738 1
1254 62915 7
1255 67528 7
1256 32637 10
1257 58209 4
1258 35925 5
1259 80029 7
1260 3875 2
1261 14820 2
1262 45749 8
1263 97501 8
1264 22374 9
1265 67700 2
1266 20150 6
1267 61388 3
1268 2172 9
1269 34131 8
1270 87523 1
1271 5377 7
1272 35765 8
1273 42228 3
1274 56180 4
1275 36670 2
1276 78890 6
1277 26232 10
1278 16315 2
1279 51928 6
1280 36160 4
1281 87847 2
1282 84789 2
1283 50138 2
1284 13357 2
1285 75336 4
1286 71381 10
1287 31049 2
1288 39368 3
1289 70189 2
1290 20685 4
1291 96635 1
1292 51330 10
1293 58081 7
1294 57559 7
1295 8732 8
1296 15979 3
1297 20208 1
1298 8624 9
1299 67331 10
1300 19439 7
1301 86764 5
1302 61492 4
1303 94844 4
1304 99961 10
1305 81739 2
1306 64547 1
1307 81093 2
1308 76623 8
1309 74600 8
1310 53804 2
1311 3361 5
1312 27809 7
1313 75628 7
1314 75380 7
1315 12270 6
1316 28992 6
1317 14359 8
1318 23412 10
1319 34783 8
1320 79310 8
1321 19344 8
1322 13799 2
1323 76799 1
1324 33588 8
1325 88975 1
1326 64829 6
1327 97003 1
1328 92480 3
1329 36777 3
1330 45893 4
1331 32163 7
1332 21460 2
1333 4718 10
1334 14909 5
1335 17374 4
1336 45068 7
1337 45714 5
1338 96158 8
1339 48358 7
1340 97208 9
1341 88044 10
1342 15987 3
1343 787 2
1344 63871 10
1345 28984 9
1346 82616 3
1347 22841 7
1348 43000 10
1349 1857 3
1350 37890 10
1351 4816 5
1352 43104 3
1353 71060 5
1354 10810 10
1355 97774 9
1356 93078 4
1357 7991 6
1358 98664 2
1359 91966 3
1360 72904 3
1361 14536 3
1362 14900 9
1363 81637 6
1364 39379 4
1365 80799 6
1366 23938 7
1367 47208 10
1368 70802 7
1369 81433 3
1370 97309 10
1371 60067 9
1372 97402 6
1373 14594 7
1374 37537 8
1375 70574 2
1376 9284 10
1377 86234 6
1378 15937 2
1379 84782 3
1380 73860 9
1381 61819 3
1382 21755 1
1383 20818 7
1384 89169 10
1385 9087 2
1386 549 1
1387 88627 8
1388 26177 9
1389 38273 5
1390 57146 6
1391 23994 3
1392 1970 5
1393 92591 1
1394 6429 5
1395 31504 6
1396 54813 8
1397 23249 3
1398 73398 10
1399 33459 8
1400 95046 8
1401 56288 9
1402 99554 7
1403 83614 1
1404 64981 7
1405 87924 7
1406 63666 10
1407 30834 8
1408 58530 6
1409 74445 4
1410 6728 7
1411 89448 8
1412 40278 8
1413 63548 9
1414 1174 4
1415 8163 7
1416 40847 8
1417 33427 3
1418 16554 4
1419 75035 6
1420 20124 9
1421 46708 1
1422 63118 6
1423 7919 1
1424 67584 5
1425 34043 10
1426 90849 5
1427 29213 7
1428 31181 8
1429 22543 3
1430 41148 5
1431 21978 4
1432 34177 6
1433 58731 6
1434 95561 5
1435 80100 8
1436 80943 9
1437 72558 8
1438 6279 10
1439 89944 7
1440 29514 2
1441 67231 3
1442 49251 5
1443 8028 9
1444 31396 9
1445 41212 10
1446 96189 5
1447 31734 5
1448 21348 1
1449 55615 5
1450 50651 8
1451 69421 10
1452 58586 4
1453 47036 3
1454 88139 7
1455 77297 4
1456 80049 5
1457 76344 1
1458 12356 2
1459 92774 3
1460 75905 10
1461 429 3
1462 18372 4
1463 53368 10
1464 73584 4
1465 12053 1
1466 48954 10
1467 55072 9
1468 25021 3
1469 45453 5
1470 91441 2
1471 75162 9
1472 41808 4
1473 59960 10
1474 67432 5
1475 63449 6
1476 34851 4
1477 96023 5
1478 10347 3
1479 3296 3
1480 29149 5
1481 15619 3
1482 37465 9
1483 62837 2
1484 88471 3
1485 56099 9
1486 7328 7
1487 19865 3
1488 91884 7
1489 43961 9
1490 57557 4
1491 84660 6
1492 25500 4
1493 99436 2
1494 36919 9
1495 41053 8
1496 70843 8
1497 66308 3
1498 1530 10
1499 65172 7
1500 34151 1
1501 16698 10
1502 38952 4
1503 67014 8
1504 85334 8
1505 67017 6
1506 47436 9
1507 79742 2
1508 99194 3
1509 18085 2
1510 93580 9
1511 69442 8
1512 58537 8
1513 50006 2
1514 61023 9
1515 81994 7
1516 44275 1
1517 42827 1
1518 63134 8
1519 5352 5
1520 79360 5
1521 96686 1
1522 99774 5
1523 64188 5
1524 77955 4
1525 92913 6
1526 51642 2
1527 83468 4
1528 92555 1
1529 60494 2
1530 49294 5
1531 35745 3
1532 82528 5
1533 18684 6
1534 35331 7
1535 61128 3
1536 9682 9
1537 24024 6
1538 14378 4
1539 25505 5
1540 25517 9
1541 81422 5
1542 26724 1
1543 7001 1
1544 8119 6
1545 22681 10
1546 38875 10
1547 58427 4
1548 47702 10
1549 15860 9
1550 89594 4
1551 17890 1
1552 57490 5
1553 48589 10
1554 50300 8
1555 8661 3
1556 17801 7
1557 90473 10
1558 75835 1
1559 22799 1
1560 76985 9
1561 44258 10
1562 13378 2
1563 80048 4
1564 22252 3
1565 76533 9
1566 884 9
1567 259 9
1568 12156 4
1569 26567 10
1570 67003 7
1571 38917 2
1572 99981 6
1573 17029 4
1574 84591 3
1575 4532 7
1576 70793 6
1577 82138 4
1578 82646 4
1579 32942 2
1580 71710 4
1581 99403 5
1582 29618 9
1583 71179 8
1584 17121 8
1585 80125 6
1586 30534 10
1587 67541 4
1588 39782 8
1589 67780 7
1590 7643 2
1591 38432 7
1592 49620 6
1593 10432 6
1594 2019 4
1595 13871 8
1596 6863 9
1597 22828 5
1598 37349 6
1599 94204 7
1600 49037 5
1601 2989 1
1602 24242 8
1603 76027 9
1604 37021 6
1605 43360 1
1606 89427 10
1607 7150 2
1608 27089 5
1609 18100 3
1610 16552 3
1611 98581 3
1612 29243 5
1613 10881 10
1614 84878 4
1615 94646 4
1616 31973 5
1617 21801 9
1618 57303 2
1619 54377 9
1620 13441 9
1621 18691 4
1622 17012 4
1623 99290 3
1624 65269 10
1625 73150 7
1626 6749 4
1627 52683 2
1628 59130 3
1629 79002 1
1630 11656 1
1631 53446 9
1632 22328 2
1633 11884 3
1634 61042 10
1635 90895 5
1636 40137 4
1637 18461 4
1638 50750 1
1639 9683 7
1640 79897 7
1641 33375 5
1642 69919 7
1643 92395 1
1644 10333 5
1645 95413 7
1646 14800 4
1647 95758 1
1648 94719 4
1649 72595 5
1650 45345 5
1651 81119 2
1652 84337 5
1653 11038 8
1654 2648 2
1655 20707 6
1656 60408 2
1657 77310 6
1658 29714 5
1659 52060 4
1660 53730 1
1661 88184 6
1662 79648 8
1663 86712 5
1664 75852 2
1665 9764 4
1666 63504 7
1667 91542 3
1668 55802 9
1669 77291 9
1670 32159 6
1671 21805 2
1672 73644 3
1673 79737 6
1674 97229 5
1675 25675 10
1676 30280 7
1677 80638 4
1678 91743 4
1679 11202 9
1680 94901 1
1681 85595 3
1682 87378 3
1683 15570 1
1684 28237 4
1685 52497 6
1686 49336 7
1687 89074 4
1688 3174 10
1689 93150 6
1690 15503 6
1691 35803 2
1692 91856 6
1693 57377 6
1694 90065 7
1695 45451 1
1696 63308 5
1697 64252 1
1698 93627 7
1699 66567 3
1700 31359 9
1701 39103 3
1702 30567 5
1703 72070 3
1704 60322 7
1705 94833 3
1706 70234 5
1707 26033 3
1708 20066 3
1709 56314 6
1710 50527 8
1711 52149 3
1712 42173 4
1713 62767 9
1714 23993 9
1715 42074 9
1716 39787 7
1717 73927 2
1718 92806 2
1719 38521 2
1720 54786 6
1721 31388 8
1722 25304 7
1723 74003 3
1724 51280 10
1725 85152 10
1726 32236 4
1727 35124 10
1728 59992 1
1729 6900 4
1730 74920 8
1731 87950 8
1732 86883 6
1733 43823 1
1734 90909 9
1735 38723 4
1736 68797 9
1737 2614 6
1738 64558 5
1739 46918 1
1740 37369 10
1741 44968 5
1742 30985 6
1743 11816 8
1744 49606 8
1745 36606 2
1746 92157 5
1747 23706 9
1748 912 3
1749 45927 5
1750 596 3
1751 9860 7
1752 524 7
1753 61844 4
1754 12458 10
1755 77491 7
1756 54213 9
1757 89296 1
1758 51003 1
1759 95120 6
1760 43304 4
1761 53970 9
1762 94627 6
1763 42409 9
1764 93129 8
1765 51070 8
1766 9018 10
1767 17938 4
1768 11348 10
1769 98303 7
1770 75243 7
1771 57850 9
1772 29222 5
1773 37850 9
1774 11144 7
1775 80249 8
1776 7929 1
1777 46619 9
1778 97905 9
1779 89395 4
1780 65032 9
1781 25342 1
1782 40171 3
1783 57964 1
1784 41736 9
1785 28439 5
1786 53217 2
1787 63050 9
1788 44730 7
1789 11685 7
1790 82096 10
1791 37852 5
1792 22882 10
1793 84893 10
1794 23528 3
1795 16626 6
1796 65538 2
1797 46163 9
1798 97945 8
1799 94755 6
1800 62678 8
1801 17844 4
1802 88593 8
1803 86448 1
1804 70721 1
1805 59084 8
1806 26993 3
1807 87021 7
1808 33684 2
1809 67477 10
1810 99157 5
1811 86973 10
1812 19675 10
1813 80979 1
1814 24402 10
1815 18804 3
1816 43393 7
1817 30423 9
1818 87664 1
1819 76574 9
1820 46546 9
1821 88991 9
1822 92205 2
1823 67965 2
1824 51884 9
1825 41504 7
1826 42048 10
1827 40156 6
1828 50455 9
1829 34531 9
1830 27782 8
1831 40271 4
1832 73165 4
1833 87135 8
1834 30506 5
1835 66188 10
1836 93991 7
1837 73316 2
1838 36741 8
1839 80885 3
1840 69668 2
1841 57047 7
1842 95220 10
1843 58975 3
1844 1122 7
1845 21858 1
1846 98275 6
1847 59729 6
1848 89343 7
1849 77118 4
1850 70181 7
1851 21661 4
1852 48969 6
1853 81009 6
1854 61581 4
1855 39994 10
1856 99601 4
1857 6545 9
1858 1064 9
1859 20350 7
1860 72694 7
1861 56768 2
1862 36032 4
1863 58332 4
1864 96487 8
1865 2566 9
1866 79238 9
1867 15410 4
1868 11331 8
1869 37564 4
1870 67448 10
1871 5626 3
1872 35128 7
1873 64475 8
1874 64903 9
1875 13935 9
